Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor,search key,download URL
1,Spider-Man,"$403,706,375","3,876","$403,706,375",May 3,Sony Pictures Releasing,Spider-Man subtitles cat,https://subtitlecat.com/subs/260/Spider.Man.2002.Subtitles.html
2,Star Wars: Episode II - Attack of the Clones,"$302,191,252","3,161","$302,191,252",May 16,Twentieth Century Fox,Star Wars: Episode II - Attack of the Clones subtitles cat,https://subtitlecat.com/subs/888/Star.Wars.Episode.Ii.Attack.Of.The.Clones.English-WWW.MY-SUBS.CO.html
3,Harry Potter and the Chamber of Secrets,"$243,867,371","3,682","$261,988,482",Nov 15,Warner Bros.,Harry Potter and the Chamber of Secrets subtitles cat,https://www.subtitlecat.com/subs/15/harry-potter-and-the-chamber-of-secrets-yify-english.html
4,Signs,"$227,486,621","3,453","$227,966,634",Aug 2,Walt Disney Studios Motion Pictures,Signs subtitles cat,https://www.subtitlecat.com/subs/23/Signs.2002.1080p.BluRay.H264.AAC-RARBG-.html
5,My Big Fat Greek Wedding,"$223,900,343","2,016","$241,438,208",Apr 19,IFC Films,My Big Fat Greek Wedding subtitles cat,https://www.subtitlecat.com/subs/375/My%20Big%20Fat%20Greek%20Wedding.html
6,The Lord of the Rings: The Two Towers,"$218,595,905","3,622","$339,789,881",Dec 18,New Line Cinema,The Lord of the Rings: The Two Towers subtitles cat,https://www.subtitlecat.com/subs/82/The%20Lord%20of%20the%20Rings%20%20The%20Two%20Towers.html
7,Austin Powers in Goldmember,"$212,864,437","3,613","$213,307,889",Jul 26,New Line Cinema,Austin Powers in Goldmember subtitles cat,https://www.subtitlecat.com/subs/23/Austin.Powers.Goldmember.2002.720p.Brrip.x264.Deceit.YIFY.html
8,Men in Black II,"$190,418,803","3,641","$190,418,803",Jul 3,Sony Pictures Releasing,Men in Black II subtitles cat,https://www.subtitlecat.com/subs/102/Men.In.Black.II.2002.1080p.BluRay.x264.YIFY.html
9,Ice Age,"$176,387,405","3,345","$176,387,405",Mar 15,Twentieth Century Fox,Ice Age subtitles cat,https://www.subtitlecat.com/subs/89/Ice.Age.2002.1080p.BluRay.x264-%5BYTS.AG%5D.html
10,A Beautiful Mind,"$154,865,545","2,250","$170,742,341",Dec 21,Universal Pictures,A Beautiful Mind subtitles cat,https://subtitlecat.com/subs/63/A.Beautiful.Mind.2001.1080p.BluRay.H264_ENG.html
11,Scooby-Doo,"$153,294,164","3,447","$153,294,164",Jun 14,Warner Bros.,Scooby-Doo subtitles cat,https://www.subtitlecat.com/subs/38/Scooby-Doo%20%282002%29.html
