rank,title,gross,theaters,total gross,release date,distributor,download URL
1,Star Wars: Episode III - Revenge of the Sith,"$380,270,577","$3,663","$380,270,577",May 19,Twentieth Century Fox,https://subtitlecat.com/subs/373/Star.Wars.Episode.III.Revenge.of.the.Sith.2005.REMASTERED.1080p.BluRay.x265-RARBG.html
2,Harry Potter and the Goblet of Fire,"$273,281,180","$3,858","$290,013,036",Nov 18,Warner Bros.,https://subtitlecat.com/subs/154/Harry.Potter.And.The.Goblet.Of.Fire.2005.1080p.BluRay.H264.AAC-RARBG.html
3,War of the Worlds,"$234,280,354","$3,910","$234,280,354",Jun 29,Paramount Pictures,https://www.subtitlecat.com/subs/188/War.of.the.Worlds.2005.1080p.BluRay.x265.html
4,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$209,440,087","$3,853","$291,710,957",Dec 9,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/9/The.Chronicles.of.Narnia.The.Lion.The%20Witch.And.The.Wardrobe.2005.1080p.Brrip.x264.Deceit.YIFY.html
5,Wedding Crashers,"$209,253,921","$3,131","$209,255,921",Jul 15,New Line Cinema,https://subtitlecat.com/subs/190/Wedding.Crashers.2005.UNRATED.1080p.BluRay.x264-CiNEFiLE.ENG.html
6,Charlie and the Chocolate Factory,"$206,459,076","$3,790","$206,459,076",Jul 15,Warner Bros.,https://subtitlecat.com/subs/574/Charlie%20and%20the%20Chocolate%20Factory%20%282005%29.eng.html
7,Batman Begins,"$205,343,774","$3,858","$205,343,774",Jun 15,Warner Bros.,https://subtitlecat.com/subs/315/Batman.Begins.2005.REMASTERED.720p.BluRay.H264.AAC-RARBG.html
8,Madagascar,"$193,595,521","$4,142","$193,595,521",May 27,DreamWorks Distribution,https://www.subtitlecat.com/subs/79/Madagascar%202005.1080p.BrRip.x264.YIFY.html
9,Mr. & Mrs. Smith,"$186,336,279","$3,451","$186,336,279",Jun 10,Twentieth Century Fox,https://www.subtitlecat.com/subs/21/Mr.and.Mrs.Smith.2005.BluRay.1080p.x264.YIFY.html
10,Hitch,"$179,495,555","$3,575","$179,495,555",Feb 11,Sony Pictures Releasing,https://www.subtitlecat.com/subs/88/Hitch.2005.1080p.BrRip.x264.YIFY.english.html
11,King Kong,"$158,709,835","$3,627","$218,080,025",Dec 14,Universal Pictures,https://subtitlecat.com/subs/117/King.Kong.2005.EXTENDED.1080p.BluRay.x265.10bit.6CH.ReEnc-LUMI.html
12,The Longest Yard,"$158,119,460","$3,654","$158,119,460",May 27,Paramount Pictures,https://www.subtitlecat.com/subs/5/The%20Longest%20Yard.html
13,Fantastic Four,"$154,696,080","$3,619","$154,696,080",Jul 8,Twentieth Century Fox,https://www.subtitlecat.com/subs/68/Fantastic%20Four%202005.720p.BrRip.x264.YIFY.html
14,Meet the Fockers,"$146,401,395","$3,554","$279,261,160",Dec 22,Universal Pictures,https://subtitlecat.com/subs/739/Meet%20the%20Fockers%202004.html
